Cardholders        ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,2019,,,,,,2018,,,,,,2017,,,,,
Area,District,Tier,Branch,Child,Teen,Adult under 25,Adult 25+,All Adults,Total,Child,Teen,Adult under 25,Adult 25+,All Adults,Total,Child,Teen,Adult under 25,Adult 25+,All Adults,Total
AG/BF/FV,AG,DL,Agincourt,2916,1283,1638,12690,14328,18527,"3,185","1,390","1,693","12,606","14,299","18,874","3,493","1,639","1,686","13,213","14,899","20,031"
ACD/CED/MAL,ACD,DL,Albert Campbell,1941,823,826,5674,6500,9264,"2,451",983,882,"6,205","7,087","10,521","2,711","1,121",878,"6,585","7,463","11,295"
AB/MAS/YW,AB,DL,Albion,5295,2873,3574,15144,18718,26886,"5,952","3,246","3,152","14,042","17,194","26,392","6,367","3,181","2,850","13,262","16,112","25,660"
BL/BR/RI,RI,NL,Alderwood,1183,169,177,2724,2901,4253,"1,173",192,186,"2,638","2,824","4,189","1,179",207,160,"2,611","2,771","4,157"
AG/BF/FV,BF,NL,Amesbury Park,997,336,387,2810,3197,4530,"1,171",385,346,"2,531","2,877","4,433","1,239",446,309,"2,679","2,988","4,673"
BL/BR/RI,BR,NL,Annette Street,1380,432,389,5499,5888,7700,"1,484",449,392,"5,473","5,865","7,798","1,470",461,403,"5,469","5,872","7,803"
R & R,TRL,RR,Answerline,1,0,0,9,9,10,1,0,0,10,10,11,1,0,0,14,14,15
AG/BF/FV,BF,NL,Armour Heights,870,210,219,3381,3600,4680,873,209,211,"3,192","3,403","4,485",868,234,168,"3,033","3,201","4,303"
AG/BF/FV,BF,DL,Barbara Frum,2506,1224,1152,9728,10880,14610,"2,767","1,060","1,157","9,575","10,732","14,559","2,988","1,276","1,118","9,395","10,513","14,777"
AG/BF/FV,FV,NL,Bayview,2142,646,631,10326,10957,13745,"2,111",679,678,"9,998","10,676","13,466","2,111",721,636,"9,542","10,178","13,010"
DM/PA/SWS,PA,NL,Beaches,1544,302,504,8551,9055,10901,"1,705",329,539,"8,648","9,187","11,221","1,934",406,535,"9,097","9,632","11,972"
ACD/CED/MAL,CED,NL,Bendale,1037,413,557,3137,3694,5144,"1,266",434,520,"3,099","3,619","5,319","1,373",497,507,"3,146","3,653","5,523"
