Total Circulation,,,,,,,,,,
ID,Branch Name,Tier,2019,2018,2017,2016,2015,2014,2013,2012
AG,Agincourt,DL,562590,"623,148",621226,712014,843672,934448,1053430,1061437
ACD,Albert Campbell,DL,219561,"303,855",338066,360510,380452,398024,420341,446623
AB,Albion,DL,300374,"328,536",309631,300607,353764,398248,466776,515235
AD,Alderwood,NL,147747,"155,864",158583,164877,169022,176590,178588,171050
AP,Amesbury Park,NL,86154,"85,101",55198,106771,120983,141236,151191,163898
AN,Annette Street,NL,201398,"201,476",250427,223409,221150,192175,212282,240626
AH,Armour Heights,NL,213427,"214,013",202628,193515,198247,192068,207404,204490
BF,Barbara Frum,DL,482673,"503,402",527513,546283,583455,585103,613282,647905
BY,Bayview,NL,397779,"429,168",455110,413869,374989,452867,499535,433652
BE,Beaches,NL,287323,"289,818",314024,332412,356357,347392,348964,341900
BD,Bendale,NL,114383,"122,497",123592,141482,147119,161001,184484,200129
BC,Black Creek,NL,79871,"86,179",97368,103621,109587,114512,110368,138372
BL,Bloor Gladstone,DL,372794,"369,252",388365,410988,446446,442201,477286,479949
BR,Brentwood,DL,409868,"418,716",433080,420952,411129,405961,420090,106001
BRW,Bridlewood,NL,346131,"419,149",385501,420243,449199,493792,522544,518725
BB,Brookbanks,NL,151891,"156,836",161391,166907,179265,191767,203292,202154
BUR,Burrows Hall,NL,123257,"123,742",141431,155738,178652,193594,207751,218886
CED,Cedarbrae,DL,374943,"394,326",430830,485383,522254,584174,659795,731057
CE,Centennial,NL,270126,"297,665",307111,276142,291551,311704,349505,348457
CH,City Hall,NL,270410,"273,173",299464,337178,342516,360425,381890,384481
CC,Cliffcrest,NL,155449,"137,460",142382,164321,173302,174901,193420,195299
CS,College Shaw,NL,189401,"182,356",189415,190775,194055,194304,214116,215913
DA,Danforth Coxwell,NL,273555,"269,855",277410,302772,296571,306457,319308,307214
DT,Davenport,NL,138693,"131,944",119636,125999,126743,120646,120435,123173
DR,Dawes Road,NL,151755,"162,061",186973,197789,205651,207658,235319,225295
DP,Deer Park,NL,415115,"401,466",395781,413421,421451,409681,407306,401443
DM,Don Mills,DL,472171,"545,675",565703,619014,627900,600651,630135,685617
DO,Downsview,NL,122726,"185,960",201514,210675,224968,241057,265652,271666
DU,Dufferin St. Clair,NL,169397,"169,416",149156,145940,151261,146068,151379,154309
EA,Eatonville,NL,441050,"463,951",501624,508926,517719,511745,481519,530488
ES,Eglinton Square,NL,202898,"204,647",123786,127466,249279,260109,283051,286302
EB,Elmbrook Park,NL,120847,"125,978",128037,149823,158219,167238,184184,183060
EG,Evelyn Gregory,NL,64150,"62,447",67336,79388,81207,83330,82785,95421
FV,Fairview,DL,638738,"683,924",728426,751914,805825,697775,186152,890759
FP,Flemingdon Park,NL,98375,"103,736",114744,140186,148828,153730,173555,188026
FH,Forest Hill,NL,172300,"181,125",189387,200010,198480,205273,215971,227143
FO,Fort York,NL,230898,"227,453",221413,222008,219431,132189,,
GE,Gerrard Ashdale,NL,167483,"171,810",177571,187874,183970,182103,194083,203132
GHP,Goldhawk Park,NL,194589,"202,870",226852,249112,264751,286301,309625,334004
GW,Guildwood,NL,47291,"97,265",114626,119074,121419,124727,134737,148552
HP,High Park,NL,338769,"302,244",317578,332131,327969,334554,347145,308987
HC,Highland Creek,NL,135525,"145,360",155735,165053,179144,192057,204248,218516
HIL,Hillcrest,NL,281722,"298,415",309418,316962,340458,363547,468119,360965
