Circulation by Cardholder Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January to December 2019,,,,,,January to December 2018,,,,,,January to December 2017,,,,,,January to December 2016,,,,,,January to December 2015,,,,January to December 2014,,,,January to December 2013,,,,January to December 2012,,,
ID,Branch Name,Tier,Child,Teen,Adult under 25,Adult 25+,All Adults,Total,Child,Teen,Adult under 25,Adult 25+,All Adults,Total,Child,Teen,Adult under 25,Adult 25+,All Adults,Total,Child,Teen,Adult under 25,Adult 25+,All Adults,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total
AG,Agincourt,DL,121461,18337,16099,406693,422792,562590,"129,005","20,516","16,990","456,637","473,627","623,148",118331,20970,17898,464027,481925,621226,132615,23751,3483,552165,555648,712014,157539,33468,652665,843672,180560,39627,714261,934448,220161,49497,783772,1053430,221916,53007,786514,1061437
ACD,Albert Campbell,DL,40636,8853,8297,161775,170072,219561,"56,597","13,229","10,045","223,984","234,029","303,855",58662,16352,9079,253973,263052,338066,61193,16258,2024,281035,283059,360510,72100,17354,290998,380452,79467,19225,299332,398024,82266,23184,314891,420341,91027,25761,329835,446623
AB,Albion,DL,68112,15691,20983,195588,216571,300374,"74,786","15,300","23,508","214,942","238,450","328,536",72912,16748,19093,200878,219971,309631,66304,16076,3101,215126,218227,300607,81284,22593,249887,353764,95290,27688,275270,398248,120988,38986,306802,466776,144087,42712,328436,515235
AD,Alderwood,NL,39445,2126,2478,103698,106176,147747,"40,659","1,934","3,233","110,038","113,271","155,864",41313,2112,3513,111645,115158,158583,40366,2205,1049,121257,122306,164877,41472,2869,124681,169022,46786,3990,125814,176590,47772,3507,127309,178588,50333,3862,116855,171050
AP,Amesbury Park,NL,15465,2195,2706,65788,68494,86154,"16,632","2,034","2,967","63,468","66,435","85,101",10913,1315,1840,41130,42970,55198,22678,3707,803,79583,80386,106771,25862,3911,91210,120983,28756,7871,104609,141236,29411,12639,109141,151191,34469,15573,113856,163898
AN,Annette Street,NL,36030,2912,2913,159543,162456,201398,"33,332","2,815","3,097","162,232","165,329","201,476",37666,2857,4919,204985,209904,250427,34317,3266,762,185064,185826,223409,35753,2981,182416,221150,35709,2234,154232,192175,37990,3822,170470,212282,45359,4670,190597,240626
AH,Armour Heights,NL,39271,5349,4996,163811,168807,213427,"7,647",926,900,"38,850","39,750","48,323",33337,3630,4565,161096,165661,202628,25725,4615,855,162320,163175,193515,27142,5090,166015,198247,34365,4884,152819,192068,39341,5684,162379,207404,37516,5889,161085,204490
BF,Barbara Frum,DL,100684,14811,15161,352017,367178,482673,"35,118","4,313","4,128","170,454","174,582","214,013",102755,19084,12776,392898,405674,527513,99142,20063,3172,423906,427078,546283,112447,21921,449087,583455,119939,25342,439822,585103,126154,28628,458500,613282,148213,34279,465413,647905
BY,Bayview,NL,77677,8808,5280,306014,311294,397779,"103,503","15,091","14,262","370,546","384,808","503,402",79362,8569,8255,358924,367179,455110,66120,8809,1839,337101,338940,413869,64235,7670,303084,374989,81736,9044,362087,452867,91007,13048,395480,499535,87217,12106,334329,433652
BE,Beaches,NL,29116,2223,3614,252370,255984,287323,"79,635","9,067","6,838","333,628","340,466","429,168",30616,3596,5065,274747,279812,314024,29720,3239,947,298506,299453,332412,28126,4054,324177,356357,31126,4737,311529,347392,35970,3789,309205,348964,40014,3891,297995,341900
BD,Bendale,NL,24013,3349,4008,83013,87021,114383,"27,015","3,158","4,735","254,910","259,645","289,818",18860,3755,3693,97284,100977,123592,24876,4676,1168,110762,111930,141482,26705,5557,114857,147119,30966,5305,124730,161001,34030,7631,142823,184484,43396,10214,146519,200129
BC,Black Creek,NL,14525,2439,3307,59600,62907,79871,"21,480","4,118","3,383","93,516","96,899","122,497",17352,2329,3495,74192,77687,97368,18707,3243,874,80797,81671,103621,20056,4278,85253,109587,24460,5547,84505,114512,23358,5709,81301,110368,30133,10782,97457,138372
BL,Bloor Gladstone,DL,53917,6631,13628,298618,312246,372794,"13,572","2,029","5,059","65,519","70,578","86,179",53772,7367,12910,314316,327226,388365,57618,8553,2791,342026,344817,410988,60845,12239,373362,446446,62649,13580,365972,442201,75589,14297,387400,477286,85032,15182,379735,479949
BR,Brentwood,DL,56461,6680,13215,333512,346727,409868,"51,891","6,511","13,678","297,172","310,850","369,252",58634,6486,14096,353864,367960,433080,56262,6888,3288,354514,357802,420952,58989,8929,343211,411129,59132,12050,334779,405961,71222,12894,335974,420090,19377,3813,82811,106001
BRW,Bridlewood,NL,66730,10857,11076,257468,268544,346131,"59,766","6,803","14,838","337,309","352,147","418,716",74015,13484,9964,288038,298002,385501,71820,16736,2505,329182,331687,420243,82681,17722,348796,449199,97312,19378,377102,493792,107590,27800,387154,522544,112235,32173,374317,518725
BB,Brookbanks,NL,34731,4657,4453,108050,112503,151891,"85,022","13,502","11,017","309,608","320,625","419,149",31019,6229,3650,120493,124143,161391,31717,6399,782,128009,128791,166907,35229,7018,137018,179265,37620,7475,146672,191767,39891,10912,152489,203292,44636,10674,146844,202154
BUR,Burrows Hall,NL,31157,6100,4924,81076,86000,123257,"31,936","5,536","4,013","115,351","119,364","156,836",30467,8948,5764,96252,102016,141431,32290,9877,1325,112246,113571,155738,41385,11810,125457,178652,46681,9962,136951,193594,52800,12577,142374,207751,53881,15515,149490,218886
CED,Cedarbrae,DL,86900,18895,18722,250426,269148,374943,"26,000","6,629","4,216","86,897","91,113","123,742",94029,20029,20615,296157,316772,430830,103247,24991,4974,352171,357145,485383,124709,29087,368458,522254,140046,34940,409188,584174,164117,45062,450616,659795,197098,50354,483605,731057
CE,Centennial,NL,46782,6052,6643,210649,217292,270126,"93,020","17,803","19,647","263,856","283,503","394,326",55468,9701,6656,235286,241942,307111,40834,8514,1411,225383,226794,276142,42589,10506,238456,291551,47542,12909,251253,311704,58108,18714,272683,349505,61152,16581,270724,348457
CH,City Hall,NL,14849,1912,9262,244387,253649,270410,"55,202","8,067","6,897","227,499","234,396","297,665",14025,1379,9394,274666,284060,299464,15685,889,1958,318646,320604,337178,14804,869,326843,342516,14172,1094,345159,360425,14574,1116,366200,381890,19395,1337,363749,384481
CC,Cliffcrest,NL,20828,3516,3800,127305,131105,155449,"13,767","1,327","9,663","248,416","258,079","273,173",20643,3302,4019,114418,118437,142382,23824,4189,895,135413,136308,164321,25381,4677,143244,173302,27959,4311,142631,174901,29823,6611,156986,193420,30042,7559,157698,195299
CS,College Shaw,NL,20832,2552,8137,157880,166017,189401,"18,858","3,299","3,895","111,408","115,303","137,460",17451,2876,5974,163114,169088,189415,17607,3610,1195,168363,169558,190775,18835,2903,172317,194055,21572,2353,170379,194304,26618,2186,185312,214116,26811,3113,185989,215913
DA,Danforth Coxwell,NL,40378,2707,4103,226367,230470,273555,"16,679","2,002","6,124","157,551","163,675","182,356",36804,4235,4369,232002,236371,277410,37745,4717,869,259441,260310,302772,39050,5249,252272,296571,42002,5699,258756,306457,47774,7033,264501,319308,46767,7795,252652,307214
DT,Davenport,NL,16790,1313,2089,118501,120590,138693,"36,692","3,588","3,742","225,833","229,575","269,855",16274,1314,1800,100248,102048,119636,18590,1245,569,105595,106164,125999,19535,1380,105828,126743,21401,2093,97152,120646,23095,1527,95813,120435,26263,2324,94586,123173
DR,Dawes Road,NL,31935,6247,3777,109796,113573,151755,"16,251","1,585","1,741","112,367","114,108","131,944",37339,8659,7242,133733,140975,186973,41465,9427,1400,145497,146897,197789,47474,8699,149478,205651,52183,10585,144890,207658,63208,11276,160835,235319,63470,11708,150117,225295
DP,Deer Park,NL,32036,5317,7577,370185,377762,415115,"33,586","8,161","4,529","115,785","120,314","162,061",21218,2337,4917,367309,372226,395781,22181,3036,1041,387163,388204,413421,23195,2296,395960,421451,24615,2093,382973,409681,24314,2816,380176,407306,28574,3320,369549,401443
DM,Don Mills,DL,79279,9717,6266,376909,383175,472171,"27,208","3,807","7,073","363,378","370,451","401,466",85286,9959,8531,461927,470458,565703,86719,11524,1787,518984,520771,619014,91146,12372,524382,627900,90701,14893,495057,600651,99017,20121,510997,630135,117687,23865,544065,685617
DO,Downsview,NL,17161,4099,4498,96968,101466,122726,"84,432","10,078","8,775","442,390","451,165","545,675",29737,7320,5869,158588,164457,201514,28057,7489,1516,173613,175129,210675,31285,8519,185164,224968,35953,9031,196073,241057,46123,10836,208693,265652,49307,14301,208058,271666
DU,Dufferin St. Clair,NL,27516,2181,3085,136615,139700,169397,"27,538","8,348","7,028","143,046","150,074","185,960",22584,2591,5093,118888,123981,149156,20416,3096,1135,121293,122428,145940,21195,4053,126013,151261,22358,4106,119604,146068,25666,4795,120918,151379,33360,5169,115780,154309
EA,Eatonville,NL,61090,8633,9366,361961,371327,441050,"28,695","1,922","5,828","132,971","138,799","169,416",65713,6976,10696,418239,428935,501624,57931,9628,2000,439367,441367,508926,66169,10478,441072,517719,73443,13345,424957,511745,72943,16445,392131,481519,86586,17533,426369,530488
