Circulation by Intellectual Level of Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January to December 2019,,,,January to December 2018,,,,January to December 2017,,,,January to December 2016 ,,,,January to December 2015 ,,,,January to December 2014 ,,,,January to December 2013,,,,January to December 2012,,,
ID,Branch Name,Tier,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total,Child,Teen,Adult,Total
AG,Agincourt,DL,"194,038","17,472","351,080","562,590","211,765","18,214","393,169","623,148",206526,17173,397527,621226,243073,13795,455146,712014,280494,20494,542684,843672,300054,24632,609762,934448,336032,27491,689907,1053430,323821,27894,709722,1061437
ACD,Albert Campbell,DL,"71,222","8,656","139,683","219,561","98,416","10,146","195,293","303,855",102547,12126,223393,338066,109799,12447,238264,360510,117982,13874,248596,380452,122884,15215,259925,398024,128255,15235,276851,420341,131716,17634,297273,446623
AB,Albion,DL,"109,416","11,377","179,581","300,374","116,982","11,828","199,726","328,536",110961,11935,186735,309631,105112,12459,183036,300607,124438,14766,214560,353764,140149,16695,241404,398248,169210,22690,274876,466776,192479,27327,295429,515235
AD,Alderwood,NL,"70,700","2,600","74,447","147,747","70,882","2,634","82,348","155,864",71125,2294,85164,158583,70981,3138,90758,164877,71954,3570,93498,169022,77975,3724,94891,176590,78700,3464,96424,178588,74291,4194,92565,171050
AP,Amesbury Park,NL,"32,539","2,564","51,051","86,154","32,278","2,263","50,560","85,101",21194,1311,32693,55198,44751,3195,58825,106771,48135,3481,69367,120983,55424,4613,81199,141236,55904,5655,89632,151191,59176,7820,96902,163898
AN,Annette Street,NL,"70,908","5,405","125,085","201,398","70,659","4,491","126,326","201,476",82476,4423,163528,250427,75468,4115,143826,223409,72685,4437,144028,221150,64235,3066,124874,192175,67680,3768,140834,212282,73293,4844,162489,240626
AH,Armour Heights,NL,"62,344","5,570","145,513","213,427","62,347","4,805","146,861","214,013",60595,3913,138120,202628,58994,3144,131377,193515,60178,3885,134184,198247,62783,4609,124676,192068,63884,6494,137026,207404,57118,7278,140094,204490
BF,Barbara Frum,DL,"184,209","13,722","284,742","482,673","192,830","14,937","295,635","503,402",197429,14899,315185,527513,205786,13941,326556,546283,224175,14916,344364,583455,225201,15127,344775,585103,227376,15238,370668,613282,234598,19513,393794,647905
BY,Bayview,NL,"154,606","9,352","233,821","397,779","163,438","9,662","256,068","429,168",165045,9581,280484,455110,144002,8871,260996,413869,124576,8833,241580,374989,146656,9216,296995,452867,155628,10529,333378,499535,137808,9389,286455,433652
BE,Beaches,NL,"77,267","4,636","205,420","287,323","73,647","5,271","210,900","289,818",79220,5285,229519,314024,78724,6225,247463,332412,76839,6462,273056,356357,77180,6792,263420,347392,80236,6492,262236,348964,82271,6517,253112,341900
BD,Bendale,NL,"40,277","3,079","71,027","114,383","39,554","3,347","79,596","122,497",36782,3267,83543,123592,44838,3813,92831,141482,46154,3863,97102,147119,50811,3542,106648,161001,58890,4918,120676,184484,65458,6197,128474,200129
BC,Black Creek,NL,"26,037","2,709","51,125","79,871","26,146","2,546","57,487","86,179",29038,3114,65216,97368,29599,3890,70132,103621,30414,4611,74562,109587,33382,7140,73990,114512,32984,5784,71600,110368,42144,7554,88674,138372
BL,Bloor Gladstone,DL,"121,235","9,947","241,612","372,794","118,181","9,411","241,660","369,252",118863,10327,259175,388365,123353,11041,276594,410988,127455,11474,307517,446446,124112,11634,306455,442201,132156,12849,332281,477286,127164,14129,338656,479949
BR,Brentwood,DL,"130,054","6,495","273,319","409,868","133,495","6,078","279,143","418,716",132416,6415,294249,433080,126636,6539,287777,420952,122305,6645,282179,411129,116155,7712,282094,405961,121726,7945,290419,420090,30292,2237,73472,106001
BRW,Bridlewood,NL,"125,221","10,547","210,363","346,131","152,024","12,924","254,201","419,149",138980,11586,234935,385501,148418,12744,259081,420243,157663,14096,277440,449199,164773,15412,313607,493792,169173,18557,334814,522544,160825,21730,336170,518725
BB,Brookbanks,NL,"60,284","3,662","87,945","151,891","58,823","3,075","94,938","156,836",58688,3743,98960,161391,59224,3863,103820,166907,61049,4832,113384,179265,67291,5113,119363,191767,72348,6636,124308,203292,72980,6191,122983,202154
BUR,Burrows Hall,NL,"50,185","6,594","66,478","123,257","46,379","6,443","70,920","123,742",52598,7177,81656,141431,59592,6571,89575,155738,67199,7928,103525,178652,72690,7998,112906,193594,78390,9234,120127,207751,79521,10501,128864,218886
