Circulation by Material Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January to December 2019,,,,,,,,,,,,January to December 2018,,,,,,,,,,,,January to December 2017,,,,,,,,,,,,January to December 2016,,,,,,,,,,,,January to December 2015,,,,,,,,,,,,January to December 2014,,,,,,,,,,,,January to December 2013,,,,,,,,,,,,January to December 2012,,,,,,,,,,,
,,,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL  ,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL  ,ENGLISH,,,,FRENCH,,,,MULTILINGUAL,,,TOTAL  
ID,Branch Name,Tier,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages,Child,Teen,Adult,Total ENG,Child,Teen,Adult,Total FRE,Child,Adult,Total MLC,All Languages
AG,Agincourt,DL,"179,027","17,461","263,334","459,822","5,727",11,"2,344","8,082","9,284","85,402","94,686","562,590","194,562","18,182","288,554","501,298","5,910",32,"2,170","8,112","11,293","102,445","113,738","623,148",188960,17141,280604,486705,7623,32,1740,9395,9943,115183,125126,621226,220919,13760,306199,540878,7379,35,1441,8855,14775,147506,162281,712014,255210,20448,356246,631904,8330,46,1535,9911,16954,184903,201857,843672,270536,24592,383292,678420,7176,40,1845,9061,22342,224625,246967,934448,300361,27292,422105,749758,8397,199,1978,10574,27274,265824,293098,1053430,285728,27809,423474,737011,6656,85,1961,8702,31437,284287,315724,1061437
ACD,Albert Campbell,DL,"68,197","8,655","125,911","202,763","1,583",1,"1,148","2,732","1,442","12,624","14,066","219,561","93,941","10,121","173,949","278,011","2,114",25,"1,589","3,728","2,361","19,755","22,116","303,855",97193,12103,193585,302881,2706,23,1742,4471,2648,28066,30714,338066,103789,12442,202287,318518,3399,5,1433,4837,2611,34544,37155,360510,112126,13855,206012,331993,3107,19,1341,4467,2749,41243,43992,380452,116312,15212,210662,342186,2853,3,1282,4138,3719,47981,51700,398024,120766,15225,220080,356071,3012,10,1223,4245,4477,55548,60025,420341,123538,17617,227828,368983,2687,17,1367,4071,5491,68078,73569,446623
AB,Albion,DL,"106,212","11,361","156,840","274,413","1,689",16,713,"2,418","1,515","22,028","23,543","300,374","113,691","11,820","172,816","298,327","2,018",8,844,"2,870","1,273","26,066","27,339","328,536",107504,11909,156592,276005,2087,26,945,3058,1370,29198,30568,309631,101802,12422,152491,266715,1789,37,700,2526,1521,29845,31366,300607,120135,14748,174331,309214,2209,18,639,2866,2094,39590,41684,353764,134915,16689,189216,340820,2403,6,695,3104,2831,51493,54324,398248,163484,22641,209330,395455,2011,49,769,2829,3715,64777,68492,466776,184378,27309,207614,419301,3521,18,892,4431,4580,86923,91503,515235
AD,Alderwood,NL,"55,652","2,555","73,170","131,377","14,749",45,294,"15,088",299,983,"1,282","147,747","56,691","2,571","80,947","140,209","13,880",63,384,"14,327",311,"1,017","1,328","155,864",57465,2256,83341,143062,13544,38,533,14115,116,1290,1406,158583,55947,3075,88480,147502,14904,63,867,15834,130,1411,1541,164877,57483,3476,91626,152585,14410,94,619,15123,61,1253,1314,169022,64612,3700,92851,161163,13279,24,388,13691,84,1652,1736,176590,64911,3447,94831,163189,13593,17,400,14010,196,1193,1389,178588,61170,4183,90645,155998,12997,11,441,13449,124,1479,1603,171050
AP,Amesbury Park,NL,"31,714","2,562","44,964","79,240",598,2,58,658,227,"6,029","6,256","86,154","31,435","2,253","44,282","77,979",708,10,141,850,135,"6,137","6,272","85,101",20799,1310,27808,49917,187,1,38,226,208,4847,5055,55198,44160,3192,50212,97564,333,3,92,428,258,8521,8779,106771,47623,3478,58493,109594,307,3,68,378,205,10806,11011,120983,54704,4610,67968,127282,368,3,96,467,352,13135,13487,141236,54918,5655,74116,134689,599,0,98,697,387,15418,15805,151191,57973,7820,77112,142905,765,0,244,1009,438,19546,19984,163898
AN,Annette Street,NL,"67,996","5,395","122,212","195,603","2,630",10,"1,070","3,710",282,"1,803","2,085","201,398","67,575","4,486","123,694","195,755","2,797",5,"1,267","4,069",287,"1,365","1,652","201,476",78534,4388,160078,243000,3514,35,1722,5271,428,1728,2156,250427,72263,4095,140451,216809,2898,20,1176,4094,307,2199,2506,223409,69724,4409,140733,214866,2650,28,1199,3877,311,2096,2407,221150,61644,3066,121746,186456,2370,0,1146,3516,221,1982,2203,192175,64360,3762,136391,204513,2979,6,989,3974,341,3454,3795,212282,70081,4837,156256,231174,2753,7,1874,4634,459,4359,4818,240626
AH,Armour Heights,NL,"61,763","5,564","144,059","211,386",450,6,467,923,131,987,"1,118","213,427","61,622","4,800","145,722","212,144",652,5,471,"1,128",73,668,741,"214,013",59423,3912,136979,200314,1068,1,267,1336,104,874,978,202628,58306,3139,130119,191564,573,5,305,883,115,953,1068,193515,59599,3884,132735,196218,512,1,432,945,67,1017,1084,198247,62297,4604,123459,190360,429,5,380,814,57,837,894,192068,63254,6489,135337,205080,525,5,585,1115,105,1104,1209,207404,56325,7267,138182,201774,706,11,829,1546,87,1083,1170,204490
BF,Barbara Frum,DL,"180,303","13,699","272,434","466,436","2,582",23,"2,311","4,916","1,324","9,997","11,321","482,673","188,740","14,935","279,721","483,397","2,486",2,"2,732","5,219","1,604","13,182","14,786","503,402",193404,14893,294541,502838,2443,6,2820,5269,1582,17824,19406,527513,201380,13927,306390,521697,2651,14,2479,5144,1755,17687,19442,546283,219347,14896,322283,556526,2838,20,1919,4777,1990,20162,22152,583455,220455,15107,322256,557818,3025,20,1884,4929,1721,20635,22356,585103,222059,15219,344027,581305,2994,19,1600,4613,2323,25041,27364,613282,227481,19504,359761,606746,4108,9,1907,6024,3009,32126,35135,647905
