Total Collection Size,,,,,,,,,,
ID,Branch Name,Tier,2019,2018,2017,2016,2015,2014,2013,2012
AG,Agincourt ,DL ,"137,367","139,624",138549,138204,136495,152189,"157,357","158,725"
ACD,Albert Campbell ,DL,"81,521","100,711",102733,101963,102386,103106,"104,377","104,853"
AB,Albion,DL,"104,959","105,777",103032,107338,107276,116372,"119,603","121,024"
AD,Alderwood,NL,"40,356","41,524",41092,41265,42026,42220,"43,744","48,215"
AP,Amesbury Park,NL,"30,053","28,882",30537,31094,32970,32992,"33,942","35,215"
AN,Annette Street,NL,"31,285","31,693",31850,32442,32052,31063,"33,557","32,809"
AH,Armour Heights,NL,"26,756","25,459",26231,27234,26444,27106,"28,202","28,192"
BF,Barbara Frum,DL ,"111,360","115,099",121733,128496,124818,128094,"128,245","134,480"
BY,Bayview,NL,"46,574","45,494",52280,49531,51178,50556,"50,915","45,674"
BE,Beaches,NL,"44,892","45,332",44621,44623,44750,45955,"51,366","52,006"
BD,Bendale,NL,"31,776","30,563",30260,29782,29222,32635,"33,237","36,567"
BC,Black Creek,NL,"33,157","32,562",31415,31671,32525,33860,"34,422","36,746"
BL,Bloor Gladstone,DL ,"67,336","74,057",75422,72565,73954,78297,"78,017","82,880"
BR,Brentwood,DL ,"78,249","78,061",79626,78973,76766,80307,"81,236","80,026"
BRW,Bridlewood,NL,"54,841","52,415",52049,56292,56502,62310,"64,670","61,187"
BB,Brookbanks,NL,"39,361","39,712",41424,43287,43218,44408,"42,750","46,081"
BUR,Burrows Hall,NL,"39,371","37,917",43702,43552,42710,46904,"48,173","48,013"
CED,Cedarbrae,DL ,"113,362","124,530",122183,123730,122564,123731,"128,979","128,405"
CE,Centennial,NL,"40,802","41,807",43981,41139,40644,43266,"44,064","43,883"
CH,City Hall,NL,"33,551","33,527",34369,32262,31990,32425,"33,932","34,852"
CC,Cliffcrest,NL,"28,418","26,819",27185,26940,28011,29030,"30,292","31,556"
