Branch Schedules by Hour,,,,,,,,,,,,,,,,,
,,,Operating Hours,,,,,,,Daily Hours,,,,,,,
ID,Branch,Tier,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekly Scheduled Hours
AG,Agincourt,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
ACD,Albert Campbell,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
AB,Albion,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
AD,Alderwood,NL,10-8:30,10:00 - 6:00,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
AP,Amesbury Park,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
AN,Annette Street,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
AH,Armour Heights,NL,Closed,10:00 - 6:00,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
BF,Barbara Frum,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
BY,Bayview,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,,11.5,11.5,11.5,11.5,11.5,8,,65.5
BE,Beaches,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
BD,Bendale,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
BC,Black Creek,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
BL,Bloor/Gladstone,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
BR,Brentwood,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
BRW,Bridlewood,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
BB,Brookbanks,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
BUR,Burrows Hall,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
CED,Cedarbrae,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
CE,Centennial,NL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
CH,City Hall,NL,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,10:00 - 6:00,Closed,,8,8,8,8,8,,,40
CC,Cliffcrest,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
CS,College/Shaw,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
DA,Danforth/Coxwell,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
DT,Davenport,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
DR,Dawes Road,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5,54
DP,Deer Park,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
DM,Don Mills,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
DO,Downsview,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
DU,Dufferin/St. Clair,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
EA,Eatonville,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
ES,Eglinton Square,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
EB,Elmbrook Park,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
EG,Evelyn Gregory,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
FV,Fairview,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
FP,Flemingdon Park,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
FH,Forest Hill,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
FO,Fort York,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
GE,Gerrard/Ashdale,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
GHP,Goldhawk Park,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
GW,Guildwood,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
HP,High Park,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
HC,Highland Creek,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
HIL,Hillcrest,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
HB,Humber Bay,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
HS,Humber Summit,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
HW,Humberwood,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
JD,Jane/Dundas,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
JS,Jane/Sheppard,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5,54
JO,Jones,NL,10:00 - 6:00,10-8:30,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,8,10.5,8,8,8,8,,50.5
KE,Kennedy/Eglinton,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
LE,Leaside,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
LHS,Lillian H. Smith,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
LO,Locke,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
LB,Long Branch,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
MA,Main Street,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,,11.5,11.5,11.5,11.5,8,8,,62
MAL,Malvern,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
MAS,Maria A. Shchuka,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
MRV,Maryvale,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,10.5,8,8,8,8,8,,50.5
MCG,McGregor Park,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
MI,Mimico Centennial,NL,Closed,12:30-8:30,12:30-8:30,10:00 - 6:00,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
MS,Morningside,NL,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,8,8,3.5,65.5
MD,Mount Dennis,NL,10-8:30,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,10.5,8,8,8,8,8,3.5,54
MP,Mount Pleasant,NL,Closed,12:30-8:30,10:00 - 6:00,12:30-8:30,10:00 - 6:00,9:00 - 5:00,,,8,8,8,8,8,,40
NT,New Toronto,NL,Closed,10:00 - 6:00,12:30-8:30,12:30-8:30,10:00 - 6:00,9:00 - 5:00,1:30-5,,8,8,8,8,8,3.5,43.5
ND,Northern District,DL,9-8:30,9-8:30,9-8:30,9-8:30,9-8:30,9:00 - 5:00,1:30-5,11.5,11.5,11.5,11.5,11.5,8,3.5,69
