Leading to Reading Locations,,,,,,,,,
ID,Branch Name,Tier,Address,Postal Code,FSA,NBHD Number,NBHD Name,Ward Number,Ward Region
AG,Agincourt ,DL ,155 Bonis Ave,M1T 3W6,M1T,118,Tam O'Shanter-Sullivan ,22,Scarborough-Agincourt
ACD,Albert Campbell ,DL,496 Birchmount Rd,M1K 1N8,M1K,120,Clairlea-Birchmount ,20,Scarborough Southwest
AB,Albion,DL,1515 Albion Rd,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North
AN,Annette Street,NL,145 Annette St.,M6P 1P3,M6P,90,Junction Area ,4,Parkdale-High Park
BF,Barbara Frum,DL ,20 Covington Rd,M6A 3C1,M6A,32,Englemount-Lawrence ,8,Eglinton-Lawrence
BL,Bloor Gladstone,DL ,1101 Bloor St W,M6H 1M7,M6H,83,Dufferin Grove ,9,Davenport
CED,Cedarbrae,DL ,545 Markham Rd,M1H 2A1,M1H,137,Woburn,24,Scarborough-Guildwood
DT,Davenport,NL,1246 Shaw St,M6G 3P1,M6G,94,Wychwood ,12,Toronto-St. Paul's
DR,Dawes Road,NL,416 Dawes Rd ,M4B 2E8,M4B,54,O'Connor-Parkview,19,Beaches-East York
DO,Downsview,NL,2793 Keele St,M3M 2G3,M3M,26,Downsview-Roding-CFB,6,York Centre
DU,Dufferin St. Clair,NL,1625 Dufferin St,M6H 3L9,M6H,93,Dovercourt-Wallace Emerson-Junction,9,Davenport
EA,Eatonville,NL,430 Burnhamthorpe Rd,M9B 2B1,M9B,14,Islington-City Centre West,2,Etobicoke Centre
EG,Evelyn Gregory,NL,120 Trowell Ave,M6M 1L7,M6M,110,Keelesdale-Eglinton West,5,York South-Weston
FV,Fairview,DL ,35 Fairview Mall Dr,M2J 4S4,M2J,47,Don Valley Village,17,Don Valley North
FP,Flemingdon Park,NL,29 St. Dennis Dr ,M3C 3J3,M3C,44,Flemingdon Park ,16,Don Valley East
GE,Gerrard Ashdale,NL,1432 Gerrard St E,M4L 1Z6,M4L,65,Greenwood-Coxwell  ,14,Toronto-Danforth
HC,Highland Creek,NL,3550 Ellesmere Rd,M1C 3Z2,M1C,134,Highland Creek ,25,Scarborough-Rouge Park
HS,Humber Summit,NL,2990 Islington Ave,M9L 2K6,M9L,21,Humber Summit,7,Humber River-Black Creek
HW,Humberwood,NL,850 Humberwood Blvd,M9W 7A6,M9W,1,West Humber-Clairville,1,Etobicoke North
JD,Jane Dundas,NL,620 Jane St,M6S 4A6,M6S,89,Runnymede-Bloor West Village ,4,Parkdale-High Park
JS,Jane Sheppard,NL,1906 Sheppard Ave West,M3L 1Y7,M3L,25,Glenfield-Jane Heights ,7,Humber River-Black Creek
MAL,Malvern,DL ,30 Sewells Rd,M1B 3G5,M1B,132,Malvern,25,Scarborough-Rouge Park
MAS,Maria A. Shchuka,DL ,1745 Eglinton Ave W,M6E 2H4,M6E,107,Oakwood-Vaughan,12,Toronto-St. Paul's
MI,Mimico Centennial,NL,47 Station Rd,M8V 2R1,M8V,17,Mimico ,3,Etobicoke-Lakeshore
MS,Morningside,NL,4279 Lawrence Ave E,M1E 2S8,M1E,136,West Hill ,25,Scarborough-Rouge Park
MD,Mount Dennis,NL,1123 Weston Rd,M6N 3S3,M6N,115,Mount Dennis ,5,York South-Weston
NT,New Toronto,NL,110 Eleventh St,M8V 3G5,M8V,18,New Toronto  ,3,Etobicoke-Lakeshore
ND,Northern District,DL ,40 Orchard View Blvd,M4R 1B9,M4R,100,Yonge-Eglinton,8,Eglinton-Lawrence
OV,Oakwood Village,NL,"341 Oakwood Ave., Toronto, ON, M6E 2W1",M6E 2W1,M6E,107,Oakwood-Vaughan,12,Toronto-St. Paul's
PA,Pape Danforth,DL ,701 Pape Ave,M4K 3S6,M4K,69,Blake-Jones ,14,Toronto-Danforth
PK,Parkdale,NL,1303 Queen St W,M6K 1L6,M6K,85,South Parkdale,4,Parkdale-High Park
PL,Parliament Street,NL,269 Gerrard St E,M5A 2G6,M5A,73,Moss Park,13,Toronto Centre
PE,Perth Dupont,NL,1589 Dupont St,M6P 3S5,M6P,93,Dovercourt-Wallace Emerson-Junction,9,Davenport
PV,Pleasant View,NL,575 Van Horne Ave,M2J 4S8,M2J,46,Pleasant View,17,Don Valley North
RI,Richview,DL ,1806 Islington Ave,M9P 3N3,M9P,7,Willowridge-Martingrove-Richview,2,Etobicoke Centre
SA,Sanderson,NL,327 Bathurst St,M5T 1J1,M5T,78,Kensington-Chinatown ,10,Spadina-Fort York
SJ,St. James Town,NL,495 Sherbourne St,M4X 1K7,M4X,74,North St. James Town ,13,Toronto Centre
TH,Thorncliffe,NL,48 Thorncliffe Park Dr,M4H 1J7,M4H,55,Thorncliffe Park ,15,Don Valley West
WE,Weston,NL,2 King St,M9N 1K9,M9N,113,Weston ,5,York South-Weston
WP,Woodview Park,NL,16 Bradstock Rd,M9M 1M8,M9M,22,Humbermede ,7,Humber River-Black Creek
YW,York Woods,DL,1785 Finch Ave W,M3N 1M6,M3N,25,Glenfield-Jane Heights ,7,Humber River-Black Creek
