New Registrations by Cardholder Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,2014,,,2013,,,2012,,,2011,,,2010,,
ID,Branch Name,Tier,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult under 25,Adult 25+,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult,Child,Teen,Adult
AG,Agincourt,DL,597,180,248,2379,630,159,379,2869,546,141,250,1601,475,118,32,1693,653,147,2119,642,173,2356,823,191,2572,768,167,2231,836,237,2652,949,241,3111
ACD,Albert Campbell,DL,305,73,101,873,426,92,131,1140,525,76,118,906,435,86,30,1041,399,74,975,641,111,1030,606,98,1066,516,98,1081,634,135,1215,621,139,1508
AB,Albion,DL,1173,636,965,4540,1570,732,863,4623,1606,925,700,3658,1103,297,114,2960,1204,358,2710,1073,232,2505,1392,302,2789,1451,352,3136,1971,613,3392,1747,520,3984
AD,Alderwood,NL,207,15,20,470,221,16,21,475,166,17,17,345,170,9,6,341,154,16,349,195,13,335,146,4,354,145,7,293,171,19,350,181,19,407
AP,Amesbury Park,NL,173,58,88,681,291,46,87,621,163,30,28,264,242,48,12,494,223,27,459,447,35,538,354,41,516,273,45,583,327,63,582,321,58,671
AN,Annette Street,NL,239,95,66,874,288,97,62,902,290,105,111,728,235,66,21,736,180,77,658,215,36,627,159,43,612,213,22,683,245,53,754,199,43,728
AH,Armour Heights,NL,194,33,36,579,221,29,31,578,184,16,34,411,164,27,2,374,159,15,371,166,21,421,119,14,368,115,8,344,206,33,431,200,15,418
BF,Barbara Frum,DL,556,452,213,1891,482,188,218,1996,558,147,199,1352,493,144,47,1338,547,163,1409,553,134,1366,454,132,1262,610,338,1355,549,578,1411,660,145,1695
BY,Bayview,NL,483,100,98,1901,477,107,129,2099,543,127,164,1794,354,75,22,1473,385,114,1355,398,71,1627,402,114,1827,296,75,1449,284,79,1373,287,58,1091
