Total Programs,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,
ID,Branches,Tier,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance,Program,Attendance
AG,Agincourt,DL,872,"20,082",933,"20,686",701,"14,410",488,12878,779,18161,657,16404,737,19033,604,16482,582,15510,566,15867
ACD,Albert Campbell,DL,514,"9,348",692,"10,751",742,"13,922",800,12675,542,10838,589,11748,629,14822,630,13241,903,19669,617,14979
AB,Albion,DL,1267,"30,414",1216,"27,190",963,"21,323",1081,23015,960,23799,796,17857,774,19600,671,18199,743,19718,592,12838
AD,Alderwood,NL,458,"9,843",457,"9,455",414,"7,926",418,9164,367,7930,204,4539,105,2319,74,2195,118,4624,132,3984
AP,Amesbury Park,NL,150,"2,426",167,"2,300",64,"1,727",173,3065,169,4486,169,4329,115,2617,66,2063,102,2175,92,3059
AN,Annette Street,NL,378,"7,306",400,"8,963",403,"11,963",380,8717,444,10510,353,7934,369,7484,486,10231,594,11264,323,9332
AH,Armour Heights,NL,105,"1,983",123,"2,609",123,"2,167",108,2232,47,1235,49,1177,18,510,14,341,29,722,21,613
BF,Barbara Frum,DL,1130,"19,650",1189,"21,746",1023,"20,205",856,18271,715,14499,600,13318,529,15186,656,17789,609,13341,796,16221
BY,Bayview,NL,133,"4,415",113,"5,068",217,"8,376",104,3718,54,1182,24,720,23,594,19,885,16,857,19,1077
BE,Beaches,NL,291,"6,393",314,"5,694",231,"4,662",217,4160,243,6081,211,5946,212,5428,240,6124,309,8081,342,10250
BD,Bendale,NL,162,"4,785",307,"7,008",209,"4,565",217,4074,146,3973,222,6075,185,4761,184,5039,205,5151,315,8982
BC,Black Creek,NL,385,"6,862",343,"6,148",280,"5,091",283,5839,239,6617,170,6426,109,3900,147,6346,141,5728,155,5558
BL,Bloor/Gladstone,DL,905,"20,508",764,"18,260",485,"11,348",427,9390,446,10818,465,12410,319,10609,403,9259,484,11247,530,9943
BR,Brentwood,DL,900,"18,300",1201,"25,047",1154,"23,619",1048,18033,986,17316,562,11402,430,9239,42,877,0,0,139,3432
BRW,Bridlewood,NL,500,"9,131",540,"10,065",462,"10,328",488,11802,504,11443,456,9763,550,10765,549,9368,570,9820,393,7806
BB,Brookbanks,NL,134,"2,865",168,"2,847",126,"2,566",186,3260,167,2592,197,3298,175,3300,221,4775,254,5756,303,6384
BUR,Burrows Hall,NL,299,"4,307",344,"5,356",366,"5,419",351,5963,184,3362,202,3952,217,4336,192,3057,212,3070,193,3201
CED,Cedarbrae,DL,"1,359","29,076","1,368","31,493",1342,"29,572",1035,26917,671,19473,567,15219,586,15050,594,14519,718,17339,24,707
CE,Centennial,NL,1000,"17,047",1113,"20,073",841,"16,569",598,10895,653,11238,660,11386,588,11918,547,10325,638,17367,316,10752
CH,City Hall,NL,269,"7,636",263,"6,593",199,"6,147",182,6088,131,3824,66,1671,53,1222,34,701,4,78,1,8
CC,Cliffcrest,NL,244,"3,483",221,"2,950",214,"2,846",203,3841,230,4076,222,3933,210,3316,217,3405,218,3787,198,2815
CS,College/Shaw,NL,234,"4,312",301,"5,548",437,"7,511",220,3307,89,2041,106,2449,90,2449,89,2242,124,2773,213,3144
