Programs by Age Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
,,,Pre-School,Pre-School,Child,Child,Teen,Teen,Young Adult,Young Adult,Adult,Adult,Senior,Senior,Pre-School,Pre-School,Child,Child,Teen,Teen,Young Adult,Young Adult,Adult,Adult,Senior,Senior,Pre-School,Pre-School,Child,Child,Teen,Teen,Adult,Adult,Senior,Senior,Pre-School,Pre-School,Child,Child,Teen,Teen,Adult,Adult,Senior,Senior,Pre-School,Pre-School,Child,Child,Teen,Teen,Adult,Adult,Senior,Senior,Pre-School,Pre-School,Child,Child,Teen,Teen,Adult,Adult,Senior,Senior,Pre-School,Pre-School,Child,Child,Teen,Teen,Adult,Adult,Senior,Senior,Co-Sponsored,,Pre-School,Pre-School,Child,Child,Teen,Teen,Adult,Adult,Senior,Senior,Co-Sponsored,Co-Sponsored
ID,Branch Name,Tier,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att
AG,Agincourt,DL,181,"6,502",145,"5,970",76,1114,1,18,450,6175,19,303,182,"6,471",200,6597,87,"1,507",,,428,"5,509",36,602,244,6621,34,431,278,3773,131,3255,14,330,205,7362,98,2505,41,564,114,1868,30,579,181,5315,177,4326,39,955,309,6013,73,1552,177,5329,87,4032,44,759,282,5142,67,1142,180,5402,120,5376,17,544,234,3767,27,465,159,3479,185,5923,87,3922,17,423,171,2625,21,477,123,3112
ACD,Albert Campbell,DL,139,"3,704",122,"3,079",39,725,0,0,203,1761,11,79,157,"3,596",153,3421,63,872,5,59,281,"2,566",33,237,195,"4,728",28,296,305,2606,192,5933,22,359,223,5163,143,3313,53,788,336,2782,45,629,161,3795,154,4418,24,363,164,1729,39,533,163,3478,153,4885,35,599,227,2639,11,147,181,5349,189,6786,63,865,82,506,22,304,92,1012,141,3058,179,7087,138,1537,91,606,0,0,81,953
AB,Albion,DL,288,"10,452",244,"7,112",435,9841,16,170,219,2151,65,688,239,"7,651",224,6863,403,10010,35,213,278,"2,225",37,228,234,6158,233,6320,255,2541,225,6162,16,142,362,9368,297,8057,106,1812,288,3536,28,242,403,10269,246,9067,121,1895,178,2410,12,158,297,6861,188,7294,85,1457,194,2011,32,234,207,5080,211,8258,97,1923,194,1587,14,106,51,2646,182,5192,227,9155,43,672,175,1404,8,97,36,1679
AD,Alderwood,NL,298,"5,348",128,"4,298",0,0,2,12,20,140,10,45,306,5617,102,3580,,,,,49,258,,,282,4834,,,20,186,111,2901,1,5,288,5647,105,3294,1,19,24,204,,,249,4964,93,2782,,,22,170,3,14,135,2912,44,1388,1,62,24,177,,,25,634,53,1445,0,0,21,133,1,1,5,106,32,1197,26,829,0,0,11,107,0,0,5,62
AP,Amesbury Park,NL,51,"1,189",59,"1,010",9,50,1,8,30,169,0,0,37,862,69,1090,22,98,5,27,33,218,1,5,40,1342,3,28,3,53,18,304,,,63,1298,90,1589,13,105,7,73,,,87,2012,76,2344,4,53,2,77,,,73,1545,67,2251,19,187,9,338,1,8,22,493,62,1708,11,148,3,24,0,0,17,244,24,380,36,1421,1,25,1,30,0,0,4,207
AN,Annette Street,NL,138,3334,104,"2,372",8,215,1,2,125,1366,2,17,138,"4,782",100,2121,7,318,3,59,150,1617,2,66,200,7782,9,218,118,1730,63,2149,13,84,145,3610,90,2678,5,337,139,2058,1,34,257,6017,73,2844,5,113,109,1536,,,162,3923,80,2553,8,153,103,1305,,,59,1685,81,2174,4,191,22,241,11,50,192,3143,76,2628,78,2382,1,15,133,1101,3,27,195,4078
AH,Armour Heights,NL,13,379,83,"1,440",2,19,0,0,6,131,1,14,25,619,95,1925,,,,,2,49,1,16,7,84,,,11,115,100,1963,5,5,11,135,96,2096,,,,,1,1,25,496,21,724,1,15,,,,,34,736,15,441,,,,,,,0,0,18,510,0,0,0,0,0,0,0,0,1,63,13,278,0,0,0,0,0,0,0,0
BF,Barbara Frum,DL,181,"3,672",162,2968,491,7668,6,288,189,3192,101,"1,862",219,5420,191,4040,499,7668,3,44,180,"2,910",97,"1,664",230,6282,196,3022,239,4466,223,4362,135,2073,254,7137,155,4150,30,523,208,3276,209,3185,192,5580,129,2635,37,597,189,3393,168,2294,168,4623,110,2730,66,984,128,2102,128,2879,137,4475,47,1830,21,400,82,2925,33,834,209,4722,133,4480,54,2408,28,895,95,2831,63,1298,283,5877
BY,Bayview,NL,60,"2,779",36,962,0,0,0,0,19,312,18,362,46,3242,36,1285,1,20,,,25,354,5,167,79,4735,3,78,48,660,73,2551,14,352,56,2345,26,1128,2,68,20,177,,,24,692,14,399,2,27,14,64,,,9,318,8,338,1,7,6,57,,,11,170,8,372,0,0,1,20,0,0,3,32,0,0,19,885,0,0,0,0,0,0,0,0
BE,Beaches,NL,121,3631,44,"1,341",2,77,0,0,83,"1,143",57,825,134,"3,253",40,683,1,58,1,23,83,773,56,927,82,2467,1,24,74,999,22,460,52,712,49,1425,35,927,6,145,69,922,58,741,74,3149,37,941,4,148,73,1083,55,760,51,2547,35,1615,3,75,73,1116,49,593,56,2528,17,888,1,35,26,311,50,758,62,908,73,2883,25,644,0,0,21,269,48,1010,73,1318
BD,Bendale,NL,28,722,71,"1,677",17,536,0,0,21,189,9,1037,110,"2,207",152,3764,9,23,,,18,265,17,726,68,1353,2,16,45,676,93,2512,1,8,68,1067,72,2111,2,25,61,825,14,46,39,1054,60,1980,2,94,44,833,1,12,63,1654,78,2779,3,75,67,1314,11,253,67,1908,54,1282,0,0,26,290,6,80,32,1201,86,2314,53,1566,0,0,26,376,1,20,18,763
BC,Black Creek,NL,84,"2,505",220,"3,621",1,31,2,19,78,686,0,0,68,"1,559",208,3946,2,33,,,65,610,,,30,939,,,63,381,186,3756,1,15,54,2268,167,2952,7,188,55,431,,,87,3909,95,2309,1,9,56,390,,,59,4185,53,1743,15,190,43,308,,,6,168,37,1206,7,83,30,160,0,0,29,2283,1,20,22,1220,10,99,64,668,1,12,49,4327
BL,Bloor Gladstone,DL,248,"10,120",222,"5,142",69,824,13,168,324,4052,29,202,250,"9,710",152,4072,60,"1,019",3,43,264,"3,123",35,293,180,"5,345",49,821,126,1812,127,3348,3,22,132,3590,142,3972,30,485,117,1264,6,79,158,4060,141,4473,48,950,98,1315,1,20,166,5089,137,4601,42,724,120,1996,,,79,3896,123,4905,33,956,76,687,0,0,8,165,92,2947,145,3919,57,952,102,1125,0,0,7,316
BR,Brentwood,DL,185,"8,406",142,"2,994",78,1270,3,37,463,5387,29,206,253,"11,112",192,4789,118,"2,184",1,15,574,"6,529",63,418,230,10250,73,"1,052",553,6057,224,5709,74,551,215,8098,145,2980,75,901,551,5434,62,620,190,6186,238,5078,64,678,479,5209,15,165,136,4051,104,3619,31,354,283,3306,8,72,120,3480,86,3036,19,119,177,2288,14,172,14,144,16,407,6,185,5,24,15,261,0,0,0,0
BRW,Bridlewood,NL,119,"2,651",201,4388,30,226,1,71,82,1104,67,691,131,"2,919",201,4642,26,276,1,16,120,1524,61,688,113,2468,33,347,107,1790,161,5129,48,594,130,3160,166,5675,43,572,82,1412,67,983,122,3076,150,5331,44,526,101,1556,87,954,121,2758,112,4340,54,598,117,1507,52,560,106,2092,85,3102,63,312,14,167,35,35,247,5057,100,1986,85,2162,102,429,1,30,2,59,259,4702
BB,Brookbanks,NL,63,"1,620",45,965,15,161,0,0,11,119,0,0,68,"1,118",71,1469,14,135,2,28,10,54,3,43,58,1022,8,205,9,72,45,1210,6,57,79,1483,59,1233,18,333,7,60,23,151,49,891,90,1370,9,220,3,22,16,89,67,1294,82,1406,9,159,22,332,17,107,45,618,30,1033,4,45,47,1082,0,0,49,522,70,1168,30,1047,14,288,46,1261,1,10,60,1001
BUR,Burrows Hall,NL,109,"2,209",59,"1,212",2,6,0,0,129,880,0,0,118,"1,982",78,2257,3,24,6,36,139,"1,057",,,97,"2,292",15,133,198,1516,54,1340,2,138,128,2924,51,1692,8,70,160,1214,4,63,84,1424,41,1170,5,111,53,537,1,120,88,1504,55,1823,6,30,53,595,,,96,2046,41,1437,9,91,32,323,1,75,38,364,81,1497,30,675,8,98,34,511,0,0,39,276
CED,Cedarbrae,DL,129,"2,868",236,"6,734",614,"12,528",4,30,353,6710,23,206,172,"4,652",219,7102,717,"15,771",4,41,206,"3,463",50,464,145,"4,049",635,"12,797",251,5286,255,6942,56,498,192,5967,154,5273,437,10761,188,4271,64,645,204,5958,134,4902,114,4057,170,4058,49,498,186,5975,110,4087,31,673,223,4241,17,243,214,5765,124,3965,51,1500,104,1246,1,105,92,2469,238,5378,131,4321,34,993,116,1564,0,0,75,2263
CE,Centennial,NL,157,"4,949",119,2081,524,7562,0,0,175,2298,25,157,137,4436,128,2266,580,10358,5,25,202,"2,306",61,682,130,4338,366,7081,238,3183,56,1117,51,850,79,3776,65,1109,198,3041,205,2246,51,723,66,3582,96,2031,220,2977,245,2224,26,424,91,3788,60,1212,179,2927,294,2875,36,584,26,733,33,1022,167,2578,145,2020,45,771,172,4794,29,637,38,1232,161,2242,140,1861,45,942,134,3411
CH,City Hall,NL,196,5539,26,590,1,18,0,0,46,1489,0,0,183,4926,17,718,1,29,,,61,904,1,16,125,4359,,,51,1134,23,654,,,122,4679,10,284,,,50,1125,,,91,2496,4,148,,,36,1180,,,34,960,2,36,,,30,675,,,34,809,1,27,0,0,18,386,0,0,0,0,19,496,0,0,0,0,15,205,0,0,0,0
CC,Cliffcrest,NL,46,867,80,"1,209",2,52,1,20,113,1296,2,39,33,435,73,1097,7,307,1,11,79,777,28,323,67,746,2,153,67,667,58,1049,20,231,76,1505,46,1157,1,7,55,755,25,417,85,1716,52,1127,1,57,89,1125,3,51,74,1206,54,1747,4,81,86,864,4,35,23,404,49,1423,3,64,66,583,0,0,69,842,31,655,40,778,3,50,59,573,0,0,84,1349
CS,College Shaw,NL,68,"1,598",86,"1,712",3,91,9,94,67,815,1,2,74,"2,015",133,2791,1,21,8,47,85,674,,,169,4055,1,7,107,729,157,2708,3,12,67,775,83,2097,1,27,69,408,,,21,441,17,667,,,51,933,,,33,870,34,1253,,,39,326,,,24,450,42,1797,0,0,13,167,0,0,11,35,22,402,41,1650,1,17,10,132,0,0,15,41
DA,Danforth Coxwell,NL,129,"4,962",77,1913,19,264,0,0,166,1178,13,368,97,4018,44,1570,12,193,1,6,151,1830,13,344,137,5703,41,721,177,1732,99,2944,16,425,135,4909,84,2252,29,490,171,1702,10,194,138,5115,70,2629,32,554,146,1773,11,170,111,4292,78,2794,21,398,110,1032,11,120,101,3740,37,1922,32,531,54,669,11,186,65,755,66,2169,47,1169,6,227,115,1354,9,58,28,872
