Total by Program Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019,,,,,,,,,,,,2018,,,,,,,,,,,,2017,,,,,,,,,,,,2016,,,,,,,,,,,,2015,,,,,,,,,,,,2014,,,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,
,,,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,Cultural,Cultural,ESL,ESL,Information & Current Issues,Information & Current Issues,Literacy,Literacy,Literary,Literary,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education,General,General,Class/Group,Class/Group,Literacy,Literacy,ESL,ESL,User Education,User Education
ID,Branches,Tier,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att,Pro,Att
AG,Agincourt,DL,56,2519,26,739,254,"6,014",12,1186,234,"6,917",290,2707,105,"2,977",26,651,293,"6,731",12,1241,227,"6,689",270,2397,32,973,34,656,184,"2,854",5,173,334,"8,688",112,1066,57,1281,29,448,82,2085,5,288,262,8221,53,555,91,2785,72,1664,185,4434,12,1156,273,6679,146,1443,47,1743,64,1450,180,3904,11,1362,242,6371,113,1574,484,13269,85,2575,11,1259,48,717,109,1213,354,11225,80,2228,9,1192,74,999,87,838
ACD,Albert Campbell,DL,47,996,23,191,202,"5,216",7,97,124,"1,993",111,855,94,"2,146",44,293,202,"3,339",12,276,189,"3,758",151,939,165,"2,870",39,193,116,"1,778",10,265,300,"8,097",112,719,155,2332,31,250,154,2448,12,383,303,6185,145,1077,76,1697,17,179,86,1157,12,424,264,6487,87,894,86,1878,27,170,124,2890,10,662,265,5570,77,578,504,12633,1,200,13,1076,31,136,80,777,498,10275,28,1400,11,1024,32,138,61,404
AB,Albion,DL,484,"13,814",27,183,300,"6,467",12,682,187,"7,026",257,2242,444,"11,401",33,191,328,"7,907",6,206,195,"6,104",210,1381,240,5912,24,217,258,6847,5,239,229,"6,114",207,1994,390,8902,45,288,185,4108,12,602,333,8025,116,1090,301,8422,39,192,131,3852,12,802,395,9560,82,971,292,6982,41,244,65,2448,10,574,304,6908,84,701,436,11347,182,6021,27,1156,45,396,84,680,380,11083,131,4560,32,1407,30,323,98,826
AD,Alderwood,NL,47,1315,0,0,56,1893,0,0,333,6458,22,177,72,1702,,,42,"1,542",,,341,6185,2,26,30,812,,,10,156,,,373,"6,950",1,8,49,1387,,,23,602,,,346,7175,,,12,170,,,25,448,,,329,7267,1,45,20,630,,,3,38,,,181,3871,,,49,1142,54,1175,0,0,0,0,2,2,44,1633,30,562,0,0,0,0,0,0
AP,Amesbury Park,NL,51,825,30,169,32,651,0,0,37,781,0,0,46,495,34,203,41,1029,,,35,542,11,31,13,197,,,13,187,,,38,"1,343",,,68,1164,,,18,411,,,65,1217,22,273,61,1595,,,12,394,,,96,2497,,,32,937,,,31,636,,,106,2756,,,86,1829,27,786,0,0,0,0,2,2,50,1477,16,586,0,0,0,0,0,0
AN,Annette Street,NL,89,"1,008",0,0,68,1487,13,497,205,4276,3,38,119,"1,421",,,42,936,12,467,221,6047,6,92,95,"1,742",,,47,1088,12,454,234,8531,15,148,127,2383,,,40,1011,12,322,201,5001,,,114,2295,,,37,1234,12,330,278,6574,3,77,89,1711,1,21,52,927,9,194,202,5081,,,310,6602,27,685,23,148,0,0,9,49,388,8730,55,1163,12,268,0,0,31,70
AH,Armour Heights,NL,71,"1,235",0,0,16,435,0,0,2,104,16,209,81,"1,541",,,35,918,,,7,150,,,83,"1,660",,,3,40,,,14,269,23,198,64,1330,,,4,58,,,40,844,,,10,487,,,,,,,37,748,,,7,243,,,,,,,42,934,,,2,129,16,381,0,0,0,0,0,0,4,155,10,186,0,0,0,0,0,0
BF,Barbara Frum,DL,323,4926,0,0,506,"10,444",12,285,163,"3,237",126,758,377,"4,966",,,422,8717,13,843,261,"6,220",116,1000,246,"5,254",16,150,293,"5,959",11,352,326,"7,357",131,1133,167,4403,,,143,2833,7,86,406,9791,133,1158,179,3946,,,148,2888,,,339,7184,49,481,145,4791,14,110,131,1896,4,81,301,6435,5,5,377,9510,109,3576,0,0,43,2100,0,0,508,10790,106,4286,0,0,41,2711,1,2
