Total Public Parking Spaces,,,
ID,Branch Name,Tier,2017
AG,Agincourt ,DL ,86
ACD,Albert Campbell ,DL,45
AB,Albion,DL,120
AD,Alderwood,NL,Shared
AP,Amesbury Park,NL,22
AN,Annette Street,NL,None
AH,Armour Heights,NL,Shared
BF,Barbara Frum,DL ,6
BY,Bayview,NL,Shared
BE,Beaches,NL,None
BD,Bendale,NL,30
BC,Black Creek,NL,Shared
BL,Bloor Gladstone,DL ,None
BR,Brentwood,DL ,None
BRW,Bridlewood,NL,Shared
BB,Brookbanks,NL,20
BUR,Burrows Hall,NL,Shared
CED,Cedarbrae,DL ,69
CE,Centennial,NL,18
CH,City Hall,NL,None
CC,Cliffcrest,NL,Shared
CS,College Shaw,NL,None
DA,Danforth Coxwell,NL,1
DT,Davenport,NL,None
DR,Dawes Road,NL,None
DP,Deer Park,NL,None
DM,Don Mills,DL ,47
DO,Downsview,NL,16
DU,Dufferin St. Clair,NL,None
EA,Eatonville,NL,49
ES,Eglinton Square,NL,Shared
EB,Elmbrook Park,NL,12
EG,Evelyn Gregory,NL,19
FV,Fairview,DL ,114
FP,Flemingdon Park,NL,Shared
FH,Forest Hill,NL,None
FO,Fort York,NL,None
GE,Gerrard Ashdale,NL,4
GHP,Goldhawk Park,NL,32
GW,Guildwood,NL,Shared
HP,High Park,NL,None
HC,Highland Creek,NL,22
HIL,Hillcrest,NL,28
HB,Humber Bay,NL,5
HS,Humber Summit,NL,15
HW,Humberwood,NL,Shared
JD,Jane Dundas,NL,16
JS,Jane Sheppard,NL,16
JO,Jones,NL,2
KE,Kennedy Eglinton,NL,Shared
LE,Leaside,NL,None
LHS,Lillian H. Smith,DL ,None
LO,Locke,NL,10
LB,Long Branch,NL,11
MA,Main Street,NL,8
MAL,Malvern,DL ,Shared
MAS,Maria A. Shchuka,DL ,14
MRV,Maryvale,NL,Shared
MCG,McGregor Park,NL,35
MI,Mimico Centennial,NL,11
MS,Morningside,NL,Shared
MD,Mount Dennis,NL,19
MP,Mount Pleasant,NL,None
NT,New Toronto,NL,10
NYCL,North York Central,R&R,None
ND,Northern District,DL ,None
NE,Northern Elms,NL,Shared
OV,Oakwood Village Library and Arts Centre,NL,None
PM,Palmerston,NL,None
PA,Pape Danforth,DL ,None
PK,Parkdale,NL,None
PL,Parliament Street,NL,None
PE,Perth Dupont,NL,None
PV,Pleasant View,NL,26
PU,Port Union,NL,Shared
QS,Queen Saulter,NL,None
RX,Rexdale,NL,12
RI,Richview,DL ,139
RD,Riverdale,NL,None
RN,Runnymede,NL,None
SWS,S. Walter Stewart,DL ,19
SA,Sanderson,NL,None
SC,Scarborough Civic Centre,NL,None
SP,Spadina Road,NL,None
SI,St. Clair Silverthorn,NL,None
SJ,St. James Town,NL,None
SL,St. Lawrence,NL,None
ST,Steeles,NL,Shared
SW,Swansea Memorial,NL,Shared
TA,Taylor Memorial,NL,4
TH,Thorncliffe,NL,Shared
TOD,Todmorden Room,NL,Shared
TRL,Toronto Reference Library,R&R,None
VV,Victoria Village,NL,29
WE,Weston,NL,8
WS,Woodside Square,NL,Shared
WP,Woodview Park,NL,Shared
WY,Wychwood,NL,None
YW,York Woods,DL,89
YO,Yorkville,NL,None
