"Room Booking: Auditorium, Meeting Room and Theatre",,,,,,,
ID,Branch Name,Meeting Room,Auditorium ,Theatre,Room Name,Lecture,Classroom
AG,Agincourt,,1,,Auditorium  ,100,32
ACD,Albert Campbell,,1,,Auditorium,90,50
ACD,Albert Campbell,1,,,Meeting room,25,25
AB,Albion,1,,,Meeting room,12,12
AB,Albion,,1,,Auditorium,60,50
AN,Annette,,1,,Auditorium,50,24
AN,Annette,1,,,Meeting room,25,16
BF,Barbara Frum,,1,,Auditorium,125,60
BF,Barbara Frum,1,,,Meeting room A,30,20
BE,Beaches,1,,,Meeting room,50,24
BD,Bendale,,1,,Auditorium,140,52
BC,Black Creek,,1,,Auditorium ,42,28
BL,Bloor Gladstone,,1,,Auditorium  ,40,40
BR,Brentwood,1,,,Meeting room,50,32
BB,Brookbanks,1,,,Meeting room,55,24
CED,Cedarbrae ,,1,,Auditorium,60,40
CE,Centennial,,1,,Auditorium,85,85
CC,Cliffcrest,1,,,Meeting room,25,24
CS,College Shaw,,1,,Auditorium,55,16
CS,College Shaw,1,,,Meeting room,20,8
DA,Danforth Coxwell,1,,,Meeting room,61,38
DT,Davenport,1,,,Meeting room,40,32
DR,Dawes Road,1,,,Meeting room,26,20
DP,Deer Park,1,,,Meeting room,64,38
DP,Deer Park,1,,,Main Fl. Mtg Rm,16,8
DM,Don Mills ,,1,,Auditorium,90,80
DM,Don Mills ,1,,,Meeting Room 1,12,8
DM,Don Mills ,1,,,Meeting Room,12,8
DO,Downsview,,1,,Auditorium,52,32
DO,Downsview,1,,,Meeting room A,25,25
DO,Downsview,1,,,Meeting room B,10,8
DO,Downsview,1,,,Meeting room C,30,24
DU,Dufferin St.Clair,1,,,Meeting room,60,30
EA,Eatonville,,1,,Auditorium,100,50
ES,Eglinton Square,1,,,Meeting room,25,15
ES,Eglinton Square,1,,,Meeting/program room,55,28
EG,Evelyn Gregory,1,,,Meeting room,40,18
FV,Fairview,,,1,Theatre,260,
FV,Fairview,1,,,Meeting Room 1 ,50,32
FV,Fairview,1,,,Meeting Room 2,50,28
FV,Fairview ,1,,,Meeting Room 3,96,32
FV,Fairview ,1,,,Meeting Room 4,24,16
