Total Workstation Users,,,,,,,,,,,,
ID,Branch Name,Tier,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
AG,Agincourt,DL,110006,112149,134675,103406,158536,166023,180672,140407,170849,174233
ACD,Albert Campbell,DL,54592,82784,150308,149712,145984,149898,133591,131353,126132,120739
AB,Albion,DL,105936,111939,137999,140606,142187,142159,139402,132024,127153,123789
AD,Alderwood,NL,10518,12162,15213,16338,16700,16500,16238,16279,14363,15563
AP,Amesbury Park,NL,13549,13010,7439,16563,16300,18550,17788,18961,19663,21450
AN,Annette Street,NL,20898,21239,37370,29238,34038,28629,30396,36663,36438,43738
AH,Armour Heights,NL,9414,9753,11225,10988,11013,11800,11250,11895,10963,10888
BF,Barbara Frum,DL,66397,76409,132868,121863,131127,120551,112745,101666,94877,100122
BY,Bayview,NL,20341,26289,29604,23800,19505,23452,25243,21394,19763,16813
BE,Beaches,NL,26353,31292,40875,45825,48525,41963,46488,45165,47375,46950
BD,Bendale,NL,13281,14323,18675,18088,21100,20538,22293,19911,21013,36739
BC,Black Creek,NL,25777,24989,19913,21763,24413,24600,21560,25755,25538,28400
BL,Bloor Gladstone,DL,119884,128177,171813,168193,179859,174629,171160,177112,185627,178811
BR,Brentwood,DL,51475,57702,86113,84596,84937,83069,84403,8276,0,52399
BRW,Bridlewood,NL,47541,51202,43341,40138,41463,42088,43375,41350,40506,41038
BB,Brookbanks,NL,16706,16333,16113,19713,19700,26263,22950,19784,23050,23538
BUR,Burrows Hall,NL,17393,16232,20938,24950,28463,28275,27563,25885,28238,32263
CED,Cedarbrae,DL,124808,133544,197151,249984,243984,258188,260191,240834,234075,8298
CE,Centennial,NL,21971,26974,35950,28213,27188,26025,29350,28740,27950,23925
CH,City Hall,NL,47505,50205,33700,30938,29788,29988,31225,30061,31500,27175
CC,Cliffcrest,NL,14182,14475,16188,19413,18638,18738,17750,18786,21013,20925
CS,College Shaw,NL,21432,21914,20363,21813,21188,21663,21563,22640,22250,22438
DA,Danforth Coxwell,NL,36170,40326,36600,37150,37125,38850,39138,35962,34650,32488
DT,Davenport,NL,4311,4008,6100,6113,6688,7150,7000,6192,5163,7788
DR,Dawes Road,NL,29528,30300,45450,46688,43475,49650,49088,48770,52375,48250
DP,Deer Park,NL,61486,65983,54350,59513,60138,54988,52063,40648,42488,41501
DM,Don Mills,DL,46052,61911,90243,88066,86525,85624,81804,75424,75994,88707
DO,Downsview,NL,43740,72517,99707,113701,109770,118894,120176,103227,104640,107228
DU,Dufferin St. Clair,NL,40379,42709,49488,51225,54700,59313,63350,54256,60713,67950
EA,Eatonville,NL,38638,41801,43683,45770,46633,47626,43594,48329,47679,48775
ES,Eglinton Square,NL,55205,55733,24088,18675,37650,37063,39200,34997,34313,30350
EB,Elmbrook Park,NL,5383,5700,7175,7325,6850,6538,7575,8451,8425,8575
